
COOPER	 I want to ask the candidates to please take your podiums. While the candidates are taking their podiums, I just want to tell you a little bit more about how tonight's debate is going to work. I'll be the moderator. I'll ask questions on a wide range of issues. And I'll work to make sure that each candidate is getting his or her fair share of questions.   Also, Western voters right here in the hall will be asking questions, as well, and viewers watching at home can participate, also. We're accepting questions for the candidates on Twitter. If you send a question for the candidates on Twitter, make sure to include the hash tag #cnndebate, on Facebook at facebook.com/cnnpolitics, and on cnnpolitics.com.  Now, each candidate will have about one minute to answer the questions and 30 seconds for follow-ups and rebuttals. I'll make sure candidates get time to respond if they're singled out for criticism. There are no buzzers. There's no bells. I'll just politely inform the candidates when they need to wrap things up.  We want everyone watching to emerge from this debate more informed about the candidates, more able to judge who should be the next president of the United States.  Now that everyone is in place, it's time for the candidates to introduce themselves to our audience. All the candidates are going to keep it short. Here's an example. I'm Anderson Cooper. I'm usually anchoring "AC 360" on CNN, but I'm honored to be here in Las Vegas at the Western Republican Presidential Debate. That will be my introduction. [ applause ] So, Senator Santorum, you're first. Let's start with you.  
SANTORUM	 Thank you, Anderson. I'm Rick Santorum. My wife, Karen, and I are the parents of seven children. And my little girl, Isabella, 3 years old, had some surgery today. She's doing fine. But I just wanted to send to her a little "I love you" and I will take the red eye home to be with you tomorrow and make sure that you're feeling fine. [ applause ]  
PAUL	 I'm Congressman Ron Paul from Texas. I'm the champion of liberty. I am the only one that has offered a balanced budget in -- in a sincere method. And also, I present the case for a free society as being the best defense for peace and prosperity. [ applause ]  
CAIN	 I am businessman Herman Cain. I've been married to my wife, Gloria, for 43 years. And I'm a 42-year businessman, which means I solve problems for a living. [ applause ]  
ROMNEY	 I'm Mitt Romney. I was a businessman for 25 years. Then I had the fun of getting the chance to help run the Olympic Winter Games in Salt Lake City next door. And then I had the fun also of being governor of Massachusetts. I also solve problems, sometimes for a living, sometimes for other people to make things better. And I hope to be your president. Thank you. [ applause ]  
PERRY	 Good evening. I'm Texas Governor Rick Perry, a proven job-creator and a man who is about economic growth, an authentic conservative, not a conservative of convenience. [ applause ]  
GINGRICH	 I'm Newt Gingrich. And unlike President Obama, I'm glad to be in Las Vegas. I think it's a great place to have a convention. [ applause ]  And -- and when I am president, we're going to replace class warfare with cooperation so all Americans can get off food stamps and onto paychecks. [ applause ]  
BACHMANN	 Hi, my name is Michele Bachmann. I am thrilled to be able to be with you tonight in Las Vegas. And this is one night when I hope what happens in Vegas doesn't stay in Vegas. [ applause ]  
COOPER	 All right. Let's -- time to begin. We'll begin with actually a question in the hall.  
QUESTION	 This is for all candidates. What's your position on replacing the federal income tax with a federal sales tax?  
